GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US080130132122,080130132122,"Block Group 2, Census Tract 132.12, Boulder County, Colorado",546,65
1500000US080130132123,080130132123,"Block Group 3, Census Tract 132.12, Boulder County, Colorado",1066,77
1500000US080130132131,080130132131,"Block Group 1, Census Tract 132.13, Boulder County, Colorado",1386,162
1500000US080130132132,080130132132,"Block Group 2, Census Tract 132.13, Boulder County, Colorado",1342,146
1500000US080130132133,080130132133,"Block Group 3, Census Tract 132.13, Boulder County, Colorado",303,89
1500000US080130133021,080130133021,"Block Group 1, Census Tract 133.02, Boulder County, Colorado",527,92
1500000US080130133022,080130133022,"Block Group 2, Census Tract 133.02, Boulder County, Colorado",457,109
1500000US080130133023,080130133023,"Block Group 3, Census Tract 133.02, Boulder County, Colorado",338,113
1500000US080130133024,080130133024,"Block Group 4, Census Tract 133.02, Boulder County, Colorado",304,96
1500000US080130133025,080130133025,"Block Group 5, Census Tract 133.02, Boulder County, Colorado",701,111
1500000US080130133051,080130133051,"Block Group 1, Census Tract 133.05, Boulder County, Colorado",490,91
1500000US080130133052,080130133052,"Block Group 2, Census Tract 133.05, Boulder County, Colorado",801,97
1500000US080130133053,080130133053,"Block Group 3, Census Tract 133.05, Boulder County, Colorado",692,111
1500000US080130133061,080130133061,"Block Group 1, Census Tract 133.06, Boulder County, Colorado",883,113
1500000US080130133062,080130133062,"Block Group 2, Census Tract 133.06, Boulder County, Colorado",861,106
1500000US080130133071,080130133071,"Block Group 1, Census Tract 133.07, Boulder County, Colorado",828,103
1500000US080130133072,080130133072,"Block Group 2, Census Tract 133.07, Boulder County, Colorado",854,101
1500000US080130133081,080130133081,"Block Group 1, Census Tract 133.08, Boulder County, Colorado",359,66
1500000US080130133082,080130133082,"Block Group 2, Census Tract 133.08, Boulder County, Colorado",1009,92
1500000US080130133083,080130133083,"Block Group 3, Census Tract 133.08, Boulder County, Colorado",321,71
1500000US080130134011,080130134011,"Block Group 1, Census Tract 134.01, Boulder County, Colorado",494,81
1500000US080130134012,080130134012,"Block Group 2, Census Tract 134.01, Boulder County, Colorado",415,99
1500000US080130134013,080130134013,"Block Group 3, Census Tract 134.01, Boulder County, Colorado",574,88
1500000US080130134021,080130134021,"Block Group 1, Census Tract 134.02, Boulder County, Colorado",448,142
1500000US080130134022,080130134022,"Block Group 2, Census Tract 134.02, Boulder County, Colorado",352,126
1500000US080130134023,080130134023,"Block Group 3, Census Tract 134.02, Boulder County, Colorado",1045,147
1500000US080130134024,080130134024,"Block Group 4, Census Tract 134.02, Boulder County, Colorado",225,57
1500000US080130134025,080130134025,"Block Group 5, Census Tract 134.02, Boulder County, Colorado",798,138
1500000US080130135031,080130135031,"Block Group 1, Census Tract 135.03, Boulder County, Colorado",291,57
1500000US080130135032,080130135032,"Block Group 2, Census Tract 135.03, Boulder County, Colorado",529,88
1500000US080130135033,080130135033,"Block Group 3, Census Tract 135.03, Boulder County, Colorado",834,96
1500000US080130135034,080130135034,"Block Group 4, Census Tract 135.03, Boulder County, Colorado",341,59
1500000US080130135051,080130135051,"Block Group 1, Census Tract 135.05, Boulder County, Colorado",366,86
1500000US080130135052,080130135052,"Block Group 2, Census Tract 135.05, Boulder County, Colorado",624,92
1500000US080130135053,080130135053,"Block Group 3, Census Tract 135.05, Boulder County, Colorado",748,96
1500000US080130135061,080130135061,"Block Group 1, Census Tract 135.06, Boulder County, Colorado",1428,51
1500000US080130135071,080130135071,"Block Group 1, Census Tract 135.07, Boulder County, Colorado",536,79
1500000US080130135072,080130135072,"Block Group 2, Census Tract 135.07, Boulder County, Colorado",616,88
1500000US080130135081,080130135081,"Block Group 1, Census Tract 135.08, Boulder County, Colorado",974,122
1500000US080130135082,080130135082,"Block Group 2, Census Tract 135.08, Boulder County, Colorado",863,120
1500000US080130135083,080130135083,"Block Group 3, Census Tract 135.08, Boulder County, Colorado",660,108
1500000US080130136011,080130136011,"Block Group 1, Census Tract 136.01, Boulder County, Colorado",715,86
1500000US080130136012,080130136012,"Block Group 2, Census Tract 136.01, Boulder County, Colorado",764,98
1500000US080130136013,080130136013,"Block Group 3, Census Tract 136.01, Boulder County, Colorado",299,71
1500000US080130136021,080130136021,"Block Group 1, Census Tract 136.02, Boulder County, Colorado",801,99
1500000US080130136022,080130136022,"Block Group 2, Census Tract 136.02, Boulder County, Colorado",615,96
1500000US080130137011,080130137011,"Block Group 1, Census Tract 137.01, Boulder County, Colorado",1369,141
1500000US080130137012,080130137012,"Block Group 2, Census Tract 137.01, Boulder County, Colorado",362,65
1500000US080130137013,080130137013,"Block Group 3, Census Tract 137.01, Boulder County, Colorado",516,112
1500000US080130137014,080130137014,"Block Group 4, Census Tract 137.01, Boulder County, Colorado",803,145
1500000US080130137021,080130137021,"Block Group 1, Census Tract 137.02, Boulder County, Colorado",422,81
1500000US080130137022,080130137022,"Block Group 2, Census Tract 137.02, Boulder County, Colorado",702,129
1500000US080130137023,080130137023,"Block Group 3, Census Tract 137.02, Boulder County, Colorado",488,126
1500000US080130137024,080130137024,"Block Group 4, Census Tract 137.02, Boulder County, Colorado",477,102
1500000US080130137025,080130137025,"Block Group 5, Census Tract 137.02, Boulder County, Colorado",379,74
1500000US080130137026,080130137026,"Block Group 6, Census Tract 137.02, Boulder County, Colorado",568,101
1500000US080130137027,080130137027,"Block Group 7, Census Tract 137.02, Boulder County, Colorado",358,133
1500000US080130606001,080130606001,"Block Group 1, Census Tract 606, Boulder County, Colorado",417,99
1500000US080130606002,080130606002,"Block Group 2, Census Tract 606, Boulder County, Colorado",795,110
1500000US080130606003,080130606003,"Block Group 3, Census Tract 606, Boulder County, Colorado",1191,148
1500000US080130607001,080130607001,"Block Group 1, Census Tract 607, Boulder County, Colorado",216,54
1500000US080130607002,080130607002,"Block Group 2, Census Tract 607, Boulder County, Colorado",584,82
1500000US080130607003,080130607003,"Block Group 3, Census Tract 607, Boulder County, Colorado",631,91
1500000US080130608001,080130608001,"Block Group 1, Census Tract 608, Boulder County, Colorado",56,27
1500000US080130608002,080130608002,"Block Group 2, Census Tract 608, Boulder County, Colorado",316,87
1500000US080130608003,080130608003,"Block Group 3, Census Tract 608, Boulder County, Colorado",732,122
1500000US080130608004,080130608004,"Block Group 4, Census Tract 608, Boulder County, Colorado",345,97
1500000US080130608005,080130608005,"Block Group 5, Census Tract 608, Boulder County, Colorado",1545,181
1500000US080130609001,080130609001,"Block Group 1, Census Tract 609, Boulder County, Colorado",1156,94
1500000US080130609002,080130609002,"Block Group 2, Census Tract 609, Boulder County, Colorado",741,76
1500000US080130613001,080130613001,"Block Group 1, Census Tract 613, Boulder County, Colorado",488,76
