No,State,StationID,Address,Latitude,Longitude,Total Annual Trips,Average Monthly Trips,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
54,OH,22,Neil Ave & Buttles Ave,39.977406,-83.011549,1483,124,3635.648982,3037.41747,14160.14972,6050.996171,1510.21262,529.9563283,7925.224954,1186.134174,1089.063167,1297.488199
55,OH,23,High St & Warren,39.977963,-83.003605,1691,141,3486.234285,1045.050375,14648.4989,23526.74611,1574.855306,13112.51381,8714.304789,7418.029992,873.1045169,1951.151933
56,OH,24,High St & 2nd Ave,39.98271,-83.003259,1264,105,2890.544077,1414.208754,11899.38138,10278.50779,1329.019472,5586.934467,6894.489449,2506.558989,785.3283807,770.8055788
57,OH,25,Cleveland Ave & Mt Vernon Ave,39.969188,-82.990716,500,42,337.4342976,16113.09907,1285.733845,19550.62227,92.86319877,1300.897596,759.4115222,1968.014902,96.0248261,168.6107052
58,OH,26,Columbus College of Art & Design,39.965128,-82.990471,560,47,1571.480726,8195.680842,6919.90504,37516.08868,673.3341156,2300.888355,4090.923595,26512.95238,584.1666027,506.5671057
59,OH,27,Columbus Museum of Art,39.963795,-82.988346,289,24,1412.780711,6956.217219,5720.151011,29443.69782,544.1372355,2252.754986,3306.43384,20049.01846,456.7992242,185.7071535
60,OH,28,Library - Main Branch,39.961512,-82.990196,536,45,1326.604025,55705.72602,5812.191011,91468.27246,675.5784265,959.6381009,3314.751876,34595.6857,495.2566833,207.2226461
61,OH,29,Topiary Park - Town St,39.960245,-82.986968,1298,108,1549.61848,4469.100079,6579.293355,25619.28974,817.9571444,1740.458052,3690.612736,19316.57851,521.1049941,93.15310249
62,OH,30,Parsons Ave & Oak St,39.963218,-82.981326,609,51,1211.093176,3399.879249,5499.571811,6727.409956,643.7882577,721.9669097,3102.378931,2116.059343,542.3114473,489.5044538
63,OH,45,Lucas St & Town St,39.957433,-83.01136,1173,98,128.7290958,24.28382473,874.3321338,4257.746786,124.0080191,2417.290727,502.9826581,1209.471821,118.6123608,606.7004139
64,OH,46,Champion Ave & Main St,39.957751,-82.969205,96,8,1265.450717,2413.920452,5278.025355,2644.034726,915.5333908,0,2713.481727,25.32681803,383.5595207,204.7874555
65,OH,47,4th St & 1st Ave - Jeffrey Park,39.980567,-82.998133,868,72,1511.580503,474.2012115,6727.77759,5698.996179,808.0382566,270.3783334,4079.421681,4825.068682,328.7371494,129.3479525
66,OH,48,High St & 4th Ave,39.985204,-83.00544,1172,98,2172.704449,8248.428512,8262.618021,17404.65545,1011.533031,4746.599573,4471.916925,2794.513704,606.4636165,1615.113664
67,OH,49,Weinland Park - 6th Ave,39.988541,-82.999571,590,49,1336.648208,1554.154929,6365.88099,2961.360935,1238.106939,1.49820906,3043.840236,968.4947009,747.2856074,437.2130967
68,OH,50,High St & King Ave,39.990144,-83.005912,960,80,2250.392221,2098.919382,8678.021012,10220.8803,1416.172326,1650.615323,4206.983397,1804.618781,804.4730679,4666.726813
69,OH,51,High St & 11th Ave,39.994813,-83.007113,1063,89,2036.201694,1442.021338,9677.748695,10120.55965,1965.936785,6464.764766,4452.339696,1114.54303,1223.27052,1099.230515
70,OH,52,High St & 17th Ave,40.001397,-83.008476,782,65,880.8659944,8250.843486,4962.875635,19052.10961,1153.200923,6603.029328,2210.009517,2803.27456,718.7992011,1394.962241
71,OH,53,Neil Ave & 11th Ave,39.99543,-83.014548,1011,84,1416.481212,1043.553781,6016.852369,3669.505914,1044.697682,1044.505269,2744.633445,1224.296232,811.0400309,357.150633
72,OH,54,Neil Ave & King Ave,39.990309,-83.013626,1036,86,2606.173144,143.4403487,9909.564596,527.2448011,1504.53161,115.323748,4756.585878,245.3299653,1042.273964,23.15073901
73,OH,55,Michigan Ave & 3rd Ave,39.984053,-83.01692,986,82,2915.843849,227.2414506,11762.29322,2229.385177,1276.990571,342.1266584,6881.951505,1595.344491,687.5072972,64.6725769
74,OH,56,4th St & Rich St,39.957724,-82.995405,776,65,941.3529483,6899.350584,4401.01644,62467.36269,525.6718054,4469.735622,2559.039116,50277.48492,374.95257,820.7915594
75,OH,59,Jaeger St & Whittier St,39.944601,-82.989581,610,51,2220.84371,171.9033836,9482.813081,3541.676961,778.5796514,2035.999459,5771.221105,298.9919217,712.1686147,1034.782196
76,OH,60,Lane Ave at Olentangy Trail,40.006525,-83.020453,796,66,155.4247911,3.702291136,745.7752726,4463.686267,115.2772755,543.2050825,365.5078443,3761.176896,109.5653618,155.6019974
77,OH,61,Thurman Ave & Bruck St,39.939637,-82.987619,525,44,2167.645659,237.3060544,9063.624045,1219.566432,815.75262,351.5852506,5249.800118,577.1944049,830.4256476,53.48072212
78,OH,62,Market District & 3rd Ave,39.985821,-83.0272,559,47,538.1696914,6416.989305,2096.827998,19065.72961,181.8507865,4573.237278,1262.176214,3433.939606,114.6313064,4641.563417
79,CO,101,11th & Pearl,40.017535,-105.281234,3887,324,481.4516941,2055.070976,2288.763129,66891.44496,378.5491015,28036.16896,1261.542086,31577.71602,167.220248,5222.489009
80,CO,102,13th & Arapahoe,40.0146,-105.27778,4011,334,737.2668491,722.5220277,3853.545874,32902.13669,741.6879826,7858.760192,2143.82983,20639.32031,230.7612128,3681.534156
81,CO,103,13th & College,40.007386,-105.276681,1392,116,1440.6588,388.1201566,6253.319614,8758.848388,1552.280019,5580.146649,2664.330097,1659.261164,596.050697,1131.320419
82,CO,104,13th & Spruce,40.01909,-105.278898,4307,359,524.4281943,2440.289007,2852.412811,61461.41453,598.5783546,20894.66936,1395.452499,33727.31925,333.9537638,4399.13691
83,CO,105,14th & Canyon,40.01663,-105.27646,3651,304,321.5986447,1627.013838,1693.265302,50071.73799,377.679436,12463.96145,881.1034307,32611.9372,112.8837901,3368.825507
84,CO,106,15th & Pearl,40.018721,-105.27584,5325,444,648.6246623,1540.612079,3182.380538,49103.77437,679.9119175,13148.97972,1514.217765,30288.20791,339.6261939,4125.974663
85,CO,107,19th @ Boulder Creek,40.01177,-105.27006,3687,307,1218.53368,1296.333742,4426.483487,1764.054485,723.7970648,150.623672,2044.09738,186.1089573,440.0553616,130.988114
86,CO,108,20th & Pearl,40.019875,-105.269518,3131,261,1969.166746,274.4369721,10080.60111,8885.80323,2002.493292,2620.218478,5175.190983,4872.884649,933.7500905,1118.263131
87,CO,109,21st & Arapahoe,40.014528,-105.267262,4255,355,2420.317941,3401.210281,9643.839658,5517.698762,1760.156712,1388.969178,4507.96655,546.3863804,955.3984556,181.1329219
88,CO,110,26th @ Pearl,40.0216,-105.25984,3432,286,280.9314691,2101.148654,1455.756938,23836.99314,282.5061625,2459.798605,742.8247725,12812.55796,149.4945344,6463.487927
89,CO,111,28th & Boulder Creek,40.010654,-105.258941,3396,283,1387.686731,1337.346289,5356.171928,6666.086285,875.0023619,1791.232081,2587.823209,1876.483287,505.6596256,1661.024627
