GEO.id,GEO.id2,GEO.display-label,HD01_VD10,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,Alternate Commuters
Id,Id2,Geography,Estimate; Public transportation (excluding taxicab):,Estimate; Taxicab,Estimate; Motorcycle,Estimate; Bicycle,Estimate; Walked,AltComm
1500000US080130132051,80130132051,"Block Group 1, Census Tract 132.05, Boulder County, Colorado",12,0,21,0,0,33
1500000US080130132052,80130132052,"Block Group 2, Census Tract 132.05, Boulder County, Colorado",94,0,0,0,0,94
1500000US080130132053,80130132053,"Block Group 3, Census Tract 132.05, Boulder County, Colorado",0,0,0,0,14,14
1500000US080130132071,80130132071,"Block Group 1, Census Tract 132.07, Boulder County, Colorado",18,0,0,0,0,18
1500000US080130132072,80130132072,"Block Group 2, Census Tract 132.07, Boulder County, Colorado",23,0,0,0,0,23
1500000US080130132073,80130132073,"Block Group 3, Census Tract 132.07, Boulder County, Colorado",2,0,5,7,0,14
1500000US080130132081,80130132081,"Block Group 1, Census Tract 132.08, Boulder County, Colorado",30,0,0,0,0,30
1500000US080130132082,80130132082,"Block Group 2, Census Tract 132.08, Boulder County, Colorado",11,0,0,0,0,11
1500000US080130132083,80130132083,"Block Group 3, Census Tract 132.08, Boulder County, Colorado",63,0,14,0,26,103
1500000US080130132101,80130132101,"Block Group 1, Census Tract 132.10, Boulder County, Colorado",24,0,0,0,0,24
1500000US080130132102,80130132102,"Block Group 2, Census Tract 132.10, Boulder County, Colorado",38,0,0,37,1,76
1500000US080130132103,80130132103,"Block Group 3, Census Tract 132.10, Boulder County, Colorado",80,0,0,18,10,108
1500000US080130132111,80130132111,"Block Group 1, Census Tract 132.11, Boulder County, Colorado",25,0,0,10,57,92
1500000US080130132112,80130132112,"Block Group 2, Census Tract 132.11, Boulder County, Colorado",1,0,0,0,0,1
1500000US080130132113,80130132113,"Block Group 3, Census Tract 132.11, Boulder County, Colorado",0,0,0,0,0,0
1500000US080130132121,80130132121,"Block Group 1, Census Tract 132.12, Boulder County, Colorado",0,0,0,0,0,0
1500000US080130132122,80130132122,"Block Group 2, Census Tract 132.12, Boulder County, Colorado",11,0,0,0,3,14
1500000US080130132123,80130132123,"Block Group 3, Census Tract 132.12, Boulder County, Colorado",44,0,0,0,37,81
1500000US080130132131,80130132131,"Block Group 1, Census Tract 132.13, Boulder County, Colorado",0,0,27,14,17,58
1500000US080130132132,80130132132,"Block Group 2, Census Tract 132.13, Boulder County, Colorado",26,0,0,38,20,84
1500000US080130132133,80130132133,"Block Group 3, Census Tract 132.13, Boulder County, Colorado",17,0,0,6,0,23
1500000US080130133021,80130133021,"Block Group 1, Census Tract 133.02, Boulder County, Colorado",66,0,0,2,77,145
1500000US080130133022,80130133022,"Block Group 2, Census Tract 133.02, Boulder County, Colorado",116,0,0,0,18,134
1500000US080130133023,80130133023,"Block Group 3, Census Tract 133.02, Boulder County, Colorado",0,0,0,0,17,17
1500000US080130133024,80130133024,"Block Group 4, Census Tract 133.02, Boulder County, Colorado",0,0,0,0,0,0
1500000US080130133025,80130133025,"Block Group 5, Census Tract 133.02, Boulder County, Colorado",7,0,0,0,130,137
1500000US080130133051,80130133051,"Block Group 1, Census Tract 133.05, Boulder County, Colorado",9,0,0,0,0,9
1500000US080130133052,80130133052,"Block Group 2, Census Tract 133.05, Boulder County, Colorado",20,0,7,0,0,27
1500000US080130133053,80130133053,"Block Group 3, Census Tract 133.05, Boulder County, Colorado",61,0,10,0,0,71
1500000US080130133061,80130133061,"Block Group 1, Census Tract 133.06, Boulder County, Colorado",24,0,0,0,34,58
1500000US080130133062,80130133062,"Block Group 2, Census Tract 133.06, Boulder County, Colorado",36,0,0,10,24,70
1500000US080130133071,80130133071,"Block Group 1, Census Tract 133.07, Boulder County, Colorado",25,0,0,12,38,75
1500000US080130133072,80130133072,"Block Group 2, Census Tract 133.07, Boulder County, Colorado",11,0,0,19,0,30
1500000US080130133081,80130133081,"Block Group 1, Census Tract 133.08, Boulder County, Colorado",3,0,0,24,0,27
1500000US080130133082,80130133082,"Block Group 2, Census Tract 133.08, Boulder County, Colorado",43,0,0,14,52,109
1500000US080130133083,80130133083,"Block Group 3, Census Tract 133.08, Boulder County, Colorado",19,0,0,0,12,31
1500000US080130134011,80130134011,"Block Group 1, Census Tract 134.01, Boulder County, Colorado",0,0,0,0,0,0
1500000US080130134012,80130134012,"Block Group 2, Census Tract 134.01, Boulder County, Colorado",39,0,11,6,39,95
1500000US080130134013,80130134013,"Block Group 3, Census Tract 134.01, Boulder County, Colorado",138,0,0,8,46,192
1500000US080130134021,80130134021,"Block Group 1, Census Tract 134.02, Boulder County, Colorado",0,0,0,0,0,0
1500000US080130134022,80130134022,"Block Group 2, Census Tract 134.02, Boulder County, Colorado",0,0,51,0,0,51
1500000US080130134023,80130134023,"Block Group 3, Census Tract 134.02, Boulder County, Colorado",11,0,0,0,18,29
1500000US080130134024,80130134024,"Block Group 4, Census Tract 134.02, Boulder County, Colorado",0,0,0,0,0,0
1500000US080130134025,80130134025,"Block Group 5, Census Tract 134.02, Boulder County, Colorado",64,0,0,0,58,122
1500000US080130135031,80130135031,"Block Group 1, Census Tract 135.03, Boulder County, Colorado",21,0,0,28,0,49
1500000US080130135032,80130135032,"Block Group 2, Census Tract 135.03, Boulder County, Colorado",36,0,10,0,7,53
1500000US080130135033,80130135033,"Block Group 3, Census Tract 135.03, Boulder County, Colorado",25,0,18,15,12,70
1500000US080130135034,80130135034,"Block Group 4, Census Tract 135.03, Boulder County, Colorado",37,0,0,0,0,37
1500000US080130135051,80130135051,"Block Group 1, Census Tract 135.05, Boulder County, Colorado",21,0,0,0,0,21
1500000US080130135052,80130135052,"Block Group 2, Census Tract 135.05, Boulder County, Colorado",38,0,0,33,60,131
1500000US080130135053,80130135053,"Block Group 3, Census Tract 135.05, Boulder County, Colorado",11,0,0,10,7,28
1500000US080130135061,80130135061,"Block Group 1, Census Tract 135.06, Boulder County, Colorado",53,0,0,42,10,105
