,GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC03_EST_VC01,HC04_EST_VC01
0,Id,Id2,Geography,Total; Estimate; Population 16 years and over,Employment/Population Ratio; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over
98,1400000US08003960000,08003960000,"Census Tract 9600, Alamosa County, Colorado",1239,58.8,4.2
99,1400000US08003960100,08003960100,"Census Tract 9601, Alamosa County, Colorado",2122,57.5,2.2
100,1400000US08003960200,08003960200,"Census Tract 9602, Alamosa County, Colorado",5618,48.8,12.5
101,1400000US08003960300,08003960300,"Census Tract 9603, Alamosa County, Colorado",3607,44.1,15.0
102,1400000US08005004951,08005004951,"Census Tract 49.51, Arapahoe County, Colorado",1975,81.1,6.4
103,1400000US08005004952,08005004952,"Census Tract 49.52, Arapahoe County, Colorado",2448,80.9,6.2
104,1400000US08005005551,08005005551,"Census Tract 55.51, Arapahoe County, Colorado",2705,62.6,9.8
105,1400000US08005005552,08005005552,"Census Tract 55.52, Arapahoe County, Colorado",2036,52.0,13.3
106,1400000US08005005553,08005005553,"Census Tract 55.53, Arapahoe County, Colorado",2968,68.4,7.5
107,1400000US08005005611,08005005611,"Census Tract 56.11, Arapahoe County, Colorado",3823,61.4,4.8
108,1400000US08005005612,08005005612,"Census Tract 56.12, Arapahoe County, Colorado",2987,64.4,5.3
109,1400000US08005005614,08005005614,"Census Tract 56.14, Arapahoe County, Colorado",2630,64.2,3.2
110,1400000US08005005619,08005005619,"Census Tract 56.19, Arapahoe County, Colorado",3820,65.3,4.9
111,1400000US08005005620,08005005620,"Census Tract 56.20, Arapahoe County, Colorado",2458,60.6,7.6
112,1400000US08005005621,08005005621,"Census Tract 56.21, Arapahoe County, Colorado",2599,60.0,5.6
113,1400000US08005005622,08005005622,"Census Tract 56.22, Arapahoe County, Colorado",1936,56.5,6.2
114,1400000US08005005623,08005005623,"Census Tract 56.23, Arapahoe County, Colorado",3393,68.5,4.9
115,1400000US08005005624,08005005624,"Census Tract 56.24, Arapahoe County, Colorado",1946,54.5,8.9
116,1400000US08005005625,08005005625,"Census Tract 56.25, Arapahoe County, Colorado",2448,59.3,8.5
117,1400000US08005005626,08005005626,"Census Tract 56.26, Arapahoe County, Colorado",2943,69.7,8.2
118,1400000US08005005627,08005005627,"Census Tract 56.27, Arapahoe County, Colorado",3635,64.2,5.6
119,1400000US08005005628,08005005628,"Census Tract 56.28, Arapahoe County, Colorado",4715,63.0,6.0
120,1400000US08005005629,08005005629,"Census Tract 56.29, Arapahoe County, Colorado",1922,58.1,2.4
121,1400000US08005005630,08005005630,"Census Tract 56.30, Arapahoe County, Colorado",4295,68.5,5.0
122,1400000US08005005631,08005005631,"Census Tract 56.31, Arapahoe County, Colorado",2713,63.0,7.4
123,1400000US08005005632,08005005632,"Census Tract 56.32, Arapahoe County, Colorado",2725,66.9,4.8
124,1400000US08005005633,08005005633,"Census Tract 56.33, Arapahoe County, Colorado",2649,65.5,2.4
125,1400000US08005005634,08005005634,"Census Tract 56.34, Arapahoe County, Colorado",2811,50.9,5.1
126,1400000US08005005635,08005005635,"Census Tract 56.35, Arapahoe County, Colorado",4175,54.2,7.0
127,1400000US08005005636,08005005636,"Census Tract 56.36, Arapahoe County, Colorado",1565,51.8,4.4
128,1400000US08005005700,08005005700,"Census Tract 57, Arapahoe County, Colorado",2996,69.9,8.4
129,1400000US08005005800,08005005800,"Census Tract 58, Arapahoe County, Colorado",2095,65.9,10.3
130,1400000US08005005951,08005005951,"Census Tract 59.51, Arapahoe County, Colorado",3816,56.3,10.8
131,1400000US08005005952,08005005952,"Census Tract 59.52, Arapahoe County, Colorado",2672,56.5,8.3
132,1400000US08005006000,08005006000,"Census Tract 60, Arapahoe County, Colorado",2248,64.7,8.6
133,1400000US08005006100,08005006100,"Census Tract 61, Arapahoe County, Colorado",2339,68.4,11.0
134,1400000US08005006200,08005006200,"Census Tract 62, Arapahoe County, Colorado",2556,68.7,7.2
135,1400000US08005006300,08005006300,"Census Tract 63, Arapahoe County, Colorado",2086,67.4,7.1
136,1400000US08005006400,08005006400,"Census Tract 64, Arapahoe County, Colorado",2680,71.8,3.4
137,1400000US08005006501,08005006501,"Census Tract 65.01, Arapahoe County, Colorado",1833,72.2,3.8
138,1400000US08005006502,08005006502,"Census Tract 65.02, Arapahoe County, Colorado",2885,69.2,5.2
139,1400000US08005006601,08005006601,"Census Tract 66.01, Arapahoe County, Colorado",4411,64.3,10.9
140,1400000US08005006603,08005006603,"Census Tract 66.03, Arapahoe County, Colorado",2819,60.2,7.7
141,1400000US08005006604,08005006604,"Census Tract 66.04, Arapahoe County, Colorado",3396,62.0,8.6
142,1400000US08005006704,08005006704,"Census Tract 67.04, Arapahoe County, Colorado",3293,52.7,3.7
143,1400000US08005006705,08005006705,"Census Tract 67.05, Arapahoe County, Colorado",1326,57.3,2.9
144,1400000US08005006706,08005006706,"Census Tract 67.06, Arapahoe County, Colorado",3934,66.5,3.6
145,1400000US08005006707,08005006707,"Census Tract 67.07, Arapahoe County, Colorado",4146,66.4,2.3
146,1400000US08005006708,08005006708,"Census Tract 67.08, Arapahoe County, Colorado",4029,68.8,3.0
147,1400000US08005006709,08005006709,"Census Tract 67.09, Arapahoe County, Colorado",4332,64.3,5.8
148,1400000US08005006711,08005006711,"Census Tract 67.11, Arapahoe County, Colorado",3097,66.1,8.0
149,1400000US08005006712,08005006712,"Census Tract 67.12, Arapahoe County, Colorado",1109,57.5,7.8
