GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC03_EST_VC01,HC04_EST_VC01,EMP,UNEMP
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Employment/Population Ratio; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,No of Employment,No of Unemployment
1400000US08013012707,8013012707,"Census Tract 127.07, Boulder County, Colorado",1966,42.1,5.4,828,2
1400000US08013012708,8013012708,"Census Tract 127.08, Boulder County, Colorado",4392,60,7,2635,4
1400000US08013012709,8013012709,"Census Tract 127.09, Boulder County, Colorado",1537,65.2,6.4,1002,4
1400000US08013012710,8013012710,"Census Tract 127.10, Boulder County, Colorado",3076,63.4,4,1950,3
1400000US08013012800,8013012800,"Census Tract 128, Boulder County, Colorado",8580,75.2,2,6452,2
1400000US08013012903,8013012903,"Census Tract 129.03, Boulder County, Colorado",1854,70.3,2,1303,1
1400000US08013012904,8013012904,"Census Tract 129.04, Boulder County, Colorado",4457,62.5,7.6,2786,5
1400000US08013012905,8013012905,"Census Tract 129.05, Boulder County, Colorado",2011,59.9,7.5,1205,4
1400000US08013012907,8013012907,"Census Tract 129.07, Boulder County, Colorado",2581,72.8,4.8,1879,3
1400000US08013013003,8013013003,"Census Tract 130.03, Boulder County, Colorado",4547,65.3,6.5,2969,4
1400000US08013013004,8013013004,"Census Tract 130.04, Boulder County, Colorado",2788,70.1,2.7,1954,2
1400000US08013013005,8013013005,"Census Tract 130.05, Boulder County, Colorado",2653,71.5,2.7,1897,2
1400000US08013013006,8013013006,"Census Tract 130.06, Boulder County, Colorado",4222,76.1,6.2,3213,5
1400000US08013013201,8013013201,"Census Tract 132.01, Boulder County, Colorado",1309,57.4,5.7,751,3
1400000US08013013202,8013013202,"Census Tract 132.02, Boulder County, Colorado",1199,55.8,7.7,669,4
1400000US08013013205,8013013205,"Census Tract 132.05, Boulder County, Colorado",4391,60.4,5.1,2652,3
1400000US08013013207,8013013207,"Census Tract 132.07, Boulder County, Colorado",3668,62.8,3.6,2304,2
1400000US08013013208,8013013208,"Census Tract 132.08, Boulder County, Colorado",4482,52.9,4.3,2371,2
1400000US08013013210,8013013210,"Census Tract 132.10, Boulder County, Colorado",3815,65.2,6.1,2487,4
1400000US08013013211,8013013211,"Census Tract 132.11, Boulder County, Colorado",4504,74.3,7.8,3346,6
1400000US08013013212,8013013212,"Census Tract 132.12, Boulder County, Colorado",3535,67,5.7,2368,4
1400000US08013013213,8013013213,"Census Tract 132.13, Boulder County, Colorado",5722,68.4,8,3914,5
1400000US08013013302,8013013302,"Census Tract 133.02, Boulder County, Colorado",3999,70.4,3.2,2815,2
1400000US08013013305,8013013305,"Census Tract 133.05, Boulder County, Colorado",3869,72.1,5.2,2790,4
1400000US08013013306,8013013306,"Census Tract 133.06, Boulder County, Colorado",3835,59.3,9.4,2274,6
1400000US08013013307,8013013307,"Census Tract 133.07, Boulder County, Colorado",2918,54.2,12.3,1582,7
1400000US08013013308,8013013308,"Census Tract 133.08, Boulder County, Colorado",2911,63.1,5,1837,3
1400000US08013013401,8013013401,"Census Tract 134.01, Boulder County, Colorado",2674,60,9.6,1604,6
1400000US08013013402,8013013402,"Census Tract 134.02, Boulder County, Colorado",6056,70.1,5.6,4245,4
1400000US08013013503,8013013503,"Census Tract 135.03, Boulder County, Colorado",3973,68.3,9,2714,6
1400000US08013013505,8013013505,"Census Tract 135.05, Boulder County, Colorado",3448,58.8,10.4,2027,6
1400000US08013013506,8013013506,"Census Tract 135.06, Boulder County, Colorado",3299,65,4.2,2144,3
1400000US08013013507,8013013507,"Census Tract 135.07, Boulder County, Colorado",2677,63.9,8.8,1711,6
1400000US08013013508,8013013508,"Census Tract 135.08, Boulder County, Colorado",5577,63.3,11.9,3530,8
1400000US08013013601,8013013601,"Census Tract 136.01, Boulder County, Colorado",3353,68.1,6.9,2283,5
1400000US08013013602,8013013602,"Census Tract 136.02, Boulder County, Colorado",885,56.2,11.3,497,6
1400000US08013013701,8013013701,"Census Tract 137.01, Boulder County, Colorado",5524,64.6,3,3569,2
1400000US08013013702,8013013702,"Census Tract 137.02, Boulder County, Colorado",5184,72.5,4.3,3758,3
1400000US08013060600,8013060600,"Census Tract 606, Boulder County, Colorado",4503,77.9,3.6,3508,3
1400000US08013060700,8013060700,"Census Tract 607, Boulder County, Colorado",2631,65.2,6.2,1715,4
1400000US08013060800,8013060800,"Census Tract 608, Boulder County, Colorado",5634,71.6,6.7,4034,5
1400000US08013060900,8013060900,"Census Tract 609, Boulder County, Colorado",3788,74.2,7.4,2811,5
1400000US08013061300,8013061300,"Census Tract 613, Boulder County, Colorado",2502,74.6,4.7,1866,4
1400000US08013061400,8013061400,"Census Tract 614, Boulder County, Colorado",2622,75.4,2.1,1977,2
1400000US08014030000,8014030000,"Census Tract 300, Broomfield County, Colorado",2748,67.3,5.7,1849,4
1400000US08014030100,8014030100,"Census Tract 301, Broomfield County, Colorado",1850,69.2,7.9,1280,5
1400000US08014030200,8014030200,"Census Tract 302, Broomfield County, Colorado",1469,65.9,13.7,968,9
1400000US08014030300,8014030300,"Census Tract 303, Broomfield County, Colorado",3029,58.9,5,1784,3
1400000US08014030400,8014030400,"Census Tract 304, Broomfield County, Colorado",2891,63.9,4.1,1847,3
1400000US08014030500,8014030500,"Census Tract 305, Broomfield County, Colorado",4211,67.4,4.4,2838,3
1400000US08014030600,8014030600,"Census Tract 306, Broomfield County, Colorado",4600,72.4,3.6,3330,3
