,No,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
50,50,899.0563886730234,133.818686158,2162.8905384060504,281.9111436310156,159.0457914890117,23.229493112,952.6173697100157,112.855901253,152.170988534,12.007063108015599
51,51,1193.4606206602693,277.65627279801174,3662.786069430761,2895.1364263311166,491.66458766110543,1458.03604004,1719.096841323328,363.0185323331053,258.5640197860585,796.4255811600001
52,52,2211.6018699180804,25.24407078900408,5645.330450567233,777.0030751930692,578.8349150220273,317.29361083101907,2341.287922051113,282.38266043301087,513.6057435760123,152.08273314003534
53,53,1598.7044268480001,60903.714059407,4329.47075261,64685.282489006,521.3293393,1357.117093762,1755.3312892119995,1684.627763902,454.1056972499999,739.823571935
54,54,1325.358679404,374.328838176,3540.867300076,4919.940443502,393.269976833,3.160723293,1489.287386718,4363.286052764,332.951257121,179.164829269
55,55,1264.887331596,110.371824163,5475.956182735001,481.3118883470272,998.172794528,182.96026076,2605.767320472,25.952546636,607.1287361389999,162.0272567880272
56,56,1117.1210901791903,262.831419625,4309.845791520678,1626.2262740160004,745.0173208441211,717.649317375,1960.2412531022997,422.643115888,487.4661273950673,223.102421128
57,57,397.0166192291004,891.653633292,1772.3849794145774,4351.402042046999,323.9703588600502,291.14390611500005,829.0282269913014,2920.1355347989997,222.36977433412548,248.46896784100002
58,58,,14.04807104,,9755.648225013,,587.845105704,,8348.738605863999,,805.016442405
59,59,569.1965597840001,94.501069821,2258.146643605,5566.642045893999,364.570257014,464.023732215,1106.146835178,4714.275118568,218.232991629,293.84212529
60,60,1334.174876731,3654.296015323,3699.167242648,5741.8239383710015,445.2388188549999,471.60049250400004,1559.105588844,1486.7389977569999,360.64795821800004,129.188432787
61,61,843.189903078,62.57319165300001,2187.507896219,460.16035987699996,258.624865259,0.0,912.4742932989999,228.77810936400002,173.21883458300002,168.80905886
62,62,758.9037567770333,1563.517196443,2333.2760460501554,1646.0726135130003,229.26941489900094,11.587789395000001,1065.3810071690627,70.96762767500026,279.7218672050584,0.0
63,63,706.1354431460296,13.338579954,2070.1039747521254,224.02603782500597,175.80799746202987,0.0,927.4437858450538,210.68745787100596,260.71674829901195,0.0
64,64,1381.57366927,420.932919433,3896.4527161130004,3328.4346814369997,506.487108908,1450.133459987,1596.289470977,611.232325941,412.102466958,846.1359760759999
65,65,1542.551177094,413.625067596,5612.630498595,5466.11655597,848.8200823980001,724.630852516,2625.498413393,1822.6306949449997,595.7608257100001,2505.229940913
66,66,1647.6469045789997,612.4168939409999,5655.381866590999,25697.691556464004,744.904957823,3658.410197838,2572.346105074,19685.666312859998,690.4838991150001,1741.1981518249997
67,67,504.76348322599995,3176.353702708,2019.9616137390005,19250.960085074003,364.86762582299997,3135.7951825129994,894.161297825,12709.832582601997,256.169206865,228.97861725099997
68,68,1192.7427737982114,6143.0201825201375,5429.688372434058,7334.388025611139,1022.9146381562492,249.340016935,2569.518463609509,855.9292163959999,644.5124968700889,86.09860976
69,69,341.90291229803574,232.95105310830397,1256.5175763161492,4853.026568704315,198.78219327202982,440.5152770100119,560.7929091690715,4179.560238586,155.03956157701194,0.0
70,70,,0.0,,9163.654712517999,,486.28629418599996,,8677.368418331998,,0.0
