,No,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
17,96.0,258.7002493443274,4472.103972395702,1261.163715553596,19562.83855171216,183.2460099522319,769.3127209685813,700.6465086408866,13700.384616589181,118.57094761615005,621.0372417586888
18,97.0,763.2402316032637,5839.33509185213,3253.661271902698,7942.339040794003,433.2953233867726,0.0,1829.3413916975733,2089.3402816993453,227.78432521508816,13.663667242528613
19,98.0,1008.1312072444232,583.334099452316,4762.1450060531215,14125.27287815681,1004.8228262183726,4894.146734634464,2346.9210534899844,7082.253979661451,402.26991910034167,1565.5380644085785
20,99.0,879.8080216409659,1556.7243726742051,3540.6750669443936,44334.40589709172,570.0572730807861,19242.15830589467,1824.5886893036536,19834.424923152663,266.22108291898775,3701.0982953701628
21,100.0,1010.983612199468,12731.38950556698,4767.111538334664,20878.158115340822,972.3439991607947,2913.266768728596,2283.2771450880878,3442.4782921729498,500.50678188631287,1791.0235488722951
22,101.0,1466.9955627974723,165.43683084670465,5577.978945585081,3156.1135814895674,757.381691477199,1434.6192286091732,2808.501980408996,1203.1156982861585,545.0997109014145,352.94182374753177
23,102.0,861.8266073386171,306.2713754694074,3857.1796359634086,2043.0058300938472,771.3981595895615,1251.3156479619115,1736.3761196601488,398.5166418440293,487.57874937508114,86.90216481849885
24,103.0,909.3402049245146,5846.566372714705,3496.3029698689415,8506.760203755666,460.98554845426486,15.916163266617682,1837.512908769084,2630.1925500290345,288.4643077210774,14.085117745309418
25,104.0,1311.2154558726106,134.25595746928494,6025.467417838561,11287.591602406279,1323.0387255654994,6087.169088870077,3035.056548165271,3038.7488720434094,356.1566882351806,2027.417684023507
26,105.0,1139.0560429365275,674.8911287184451,4200.299161038898,2010.1171584365645,639.9998367769346,928.4400878681067,2004.9208311343436,283.7748415597028,416.32245019109234,123.01110029030988
27,106.0,1239.6665281085152,1943.6385482424366,6913.130375685367,16598.23324226699,1392.7400111710606,967.9820624655904,3491.8008712710707,11604.587893615428,788.9229651347198,2082.0247379435395
28,107.0,38.627918416580606,196.80671020998417,252.87407783516136,6076.725587411102,53.72814931444668,517.4513939268463,136.03092469136203,4720.943147952071,24.487085412772032,641.524335322202
29,108.0,1395.9654328758227,372.2623050393532,6830.338707182869,27826.66650394878,1363.1545050233142,12272.562905768376,3520.8928224972087,12090.779767728298,550.3259467865234,3091.061525412757
