GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US39113115002,39113115002,"Census Tract 1150.02, Montgomery County, Ohio",3720,230,3604,235,41,42,0,11,11,17,0,11,42,65,22,23,0,11,22,23
1400000US39113115011,39113115011,"Census Tract 1150.11, Montgomery County, Ohio",5759,334,5013,393,267,206,0,15,38,51,0,15,16,25,425,265,77,121,348,243
1400000US39113115012,39113115012,"Census Tract 1150.12, Montgomery County, Ohio",5476,355,4570,419,687,251,0,15,67,59,0,15,0,15,152,121,0,15,152,121
1400000US39113120101,39113120101,"Census Tract 1201.01, Montgomery County, Ohio",5194,374,4281,351,710,196,0,15,30,33,0,15,112,166,61,42,0,15,61,42
1400000US39113120102,39113120102,"Census Tract 1201.02, Montgomery County, Ohio",4720,308,3443,253,1158,201,0,11,30,30,0,11,0,11,89,59,8,13,81,59
1400000US39113120103,39113120103,"Census Tract 1201.03, Montgomery County, Ohio",2920,245,1730,224,965,218,0,11,71,79,0,11,67,92,87,58,0,11,87,58
1400000US39113125000,39113125000,"Census Tract 1250, Montgomery County, Ohio",6254,232,6188,253,0,15,0,15,0,15,0,15,66,109,0,15,0,15,0,15
1400000US39113125101,39113125101,"Census Tract 1251.01, Montgomery County, Ohio",7450,367,5834,414,696,313,4,10,371,271,0,15,25,48,520,453,0,15,520,453
1400000US39113125102,39113125102,"Census Tract 1251.02, Montgomery County, Ohio",6151,392,5336,379,696,298,0,15,0,15,0,15,0,15,119,106,0,15,119,106
1400000US39113130101,39113130101,"Census Tract 1301.01, Montgomery County, Ohio",2386,213,2323,213,8,13,0,11,0,11,6,9,2,3,47,35,22,25,25,24
1400000US39113130102,39113130102,"Census Tract 1301.02, Montgomery County, Ohio",6491,222,6395,229,31,29,0,15,16,24,0,15,0,15,49,71,0,15,49,71
1400000US39113140100,39113140100,"Census Tract 1401, Montgomery County, Ohio",5997,17,5770,235,46,67,0,15,0,15,34,42,114,164,33,42,0,15,33,42
