Broadway & University,Feb-17,91
Broadway & University,Jan-17,62
Broadway & University,Jul-17,247
Broadway & University,Jun-17,196
Broadway & University,Mar-17,151
Broadway & University,May-17,144
Broadway & University,Nov-17,132
Broadway & University,Oct-17,250
Broadway & University,Sep-17,241
Folsom & Colorado,Apr-17,336
Folsom & Colorado,Aug-17,582
Folsom & Colorado,Dec-17,315
Folsom & Colorado,Feb-17,256
Folsom & Colorado,Jan-17,158
Folsom & Colorado,Jul-17,569
Folsom & Colorado,Jun-17,408
Folsom & Colorado,Mar-17,362
Folsom & Colorado,May-17,322
Folsom & Colorado,Nov-17,457
Folsom & Colorado,Oct-17,650
Folsom & Colorado,Sep-17,772
Folsom & Pearl,Apr-17,300
Folsom & Pearl,Aug-17,383
Folsom & Pearl,Dec-17,251
Folsom & Pearl,Feb-17,196
Folsom & Pearl,Jan-17,157
Folsom & Pearl,Jul-17,384
Folsom & Pearl,Jun-17,441
Folsom & Pearl,Mar-17,303
Folsom & Pearl,May-17,353
Folsom & Pearl,Nov-17,267
Folsom & Pearl,Oct-17,375
Folsom & Pearl,Sep-17,327
Gunbarrel North,Apr-17,33
Gunbarrel North,Aug-17,23
Gunbarrel North,Dec-17,7
Gunbarrel North,Feb-17,5
Gunbarrel North,Jan-17,13
Gunbarrel North,Jul-17,55
Gunbarrel North,Jun-17,22
Gunbarrel North,Mar-17,12
Gunbarrel North,May-17,54
Gunbarrel North,Nov-17,43
Gunbarrel North,Sep-17,10
Library @ Arapahoe,Apr-17,153
Library @ Arapahoe,Aug-17,252
Library @ Arapahoe,Dec-17,103
Library @ Arapahoe,Feb-17,98
Library @ Arapahoe,Jan-17,76
Library @ Arapahoe,Jul-17,294
Library @ Arapahoe,Jun-17,233
Library @ Arapahoe,Mar-17,158
Library @ Arapahoe,May-17,205
Library @ Arapahoe,Nov-17,123
Library @ Arapahoe,Oct-17,233
Library @ Arapahoe,Sep-17,202
Municipal Building,Apr-17,209
Municipal Building,Aug-17,391
Municipal Building,Dec-17,129
Municipal Building,Feb-17,175
Municipal Building,Jan-17,158
Municipal Building,Jul-17,388
Municipal Building,Jun-17,298
Municipal Building,Mar-17,254
Municipal Building,May-17,289
Municipal Building,Nov-17,106
Municipal Building,Oct-17,181
Municipal Building,Sep-17,276
North Boulder Recreation Center,Apr-17,121
North Boulder Recreation Center,Aug-17,69
North Boulder Recreation Center,Dec-17,44
North Boulder Recreation Center,Feb-17,104
North Boulder Recreation Center,Jan-17,103
North Boulder Recreation Center,Jul-17,102
North Boulder Recreation Center,Jun-17,123
North Boulder Recreation Center,Mar-17,130
North Boulder Recreation Center,May-17,114
North Boulder Recreation Center,Nov-17,50
North Boulder Recreation Center,Oct-17,67
North Boulder Recreation Center,Sep-17,74
Settlers' Park,Apr-17,176
Settlers' Park,Aug-17,373
Settlers' Park,Dec-17,94
Settlers' Park,Feb-17,105
Settlers' Park,Jan-17,87
Settlers' Park,Jul-17,359
Settlers' Park,Jun-17,274
Settlers' Park,Mar-17,195
Settlers' Park,May-17,250
Settlers' Park,Nov-17,140
