State,Station Name,Month,Ridership,Average Rain,Average Temp
CO,6th & Canyon,May,195,3.1,57.9
CO,6th & Canyon,Nov,69,1.1,40.6
CO,6th & Canyon,Oct,100,1.2,52.9
CO,6th & Canyon,Sep,181,1.5,62.2
CO,9th & Pearl,Apr,159,2.5,49.1
CO,9th & Pearl,Aug,346,1.5,70.9
CO,9th & Pearl,Dec,103,0.7,33.4
CO,9th & Pearl,Feb,106,0.8,35.8
CO,9th & Pearl,Jan,101,0.7,32.5
CO,9th & Pearl,Jul,362,1.6,72.9
CO,9th & Pearl,Jun,325,2.1,67.1
CO,9th & Pearl,Mar,158,1.7,41
CO,9th & Pearl,May,186,3.1,57.9
CO,9th & Pearl,Nov,144,1.1,40.6
CO,9th & Pearl,Oct,153,1.2,52.9
CO,9th & Pearl,Sep,295,1.5,62.2
CO,Broadway & Alpine,Apr,259,2.5,49.1
CO,Broadway & Alpine,Aug,264,1.5,70.9
CO,Broadway & Alpine,Dec,140,0.7,33.4
CO,Broadway & Alpine,Feb,161,0.8,35.8
CO,Broadway & Alpine,Jan,180,0.7,32.5
CO,Broadway & Alpine,Jul,242,1.6,72.9
CO,Broadway & Alpine,Jun,307,2.1,67.1
CO,Broadway & Alpine,Mar,250,1.7,41
CO,Broadway & Alpine,May,247,3.1,57.9
CO,Broadway & Alpine,Nov,182,1.1,40.6
CO,Broadway & Alpine,Oct,202,1.2,52.9
CO,Broadway & Alpine,Sep,250,1.5,62.2
CO,Broadway & Baseline,Apr,80,2.5,49.1
CO,Broadway & Baseline,Aug,319,1.5,70.9
CO,Broadway & Baseline,Dec,132,0.7,33.4
CO,Broadway & Baseline,Feb,97,0.8,35.8
CO,Broadway & Baseline,Jan,78,0.7,32.5
CO,Broadway & Baseline,Jul,377,1.6,72.9
CO,Broadway & Baseline,Jun,285,2.1,67.1
CO,Broadway & Baseline,Mar,74,1.7,41
CO,Broadway & Baseline,May,210,3.1,57.9
CO,Broadway & Baseline,Nov,211,1.1,40.6
CO,Broadway & Baseline,Oct,283,1.2,52.9
CO,Broadway & Baseline,Sep,325,1.5,62.2
CO,Broadway & Euclid,Apr,315,2.5,49.1
CO,Broadway & Euclid,Aug,624,1.5,70.9
CO,Broadway & Euclid,Dec,181,0.7,33.4
CO,Broadway & Euclid,Feb,263,0.8,35.8
CO,Broadway & Euclid,Jan,139,0.7,32.5
CO,Broadway & Euclid,Jul,406,1.6,72.9
CO,Broadway & Euclid,Jun,364,2.1,67.1
CO,Broadway & Euclid,Mar,371,1.7,41
CO,Broadway & Euclid,May,343,3.1,57.9
CO,Broadway & Euclid,Nov,234,1.1,40.6
CO,Broadway & Euclid,Oct,356,1.2,52.9
CO,Broadway & Euclid,Sep,514,1.5,62.2
CO,Broadway & Iris,Apr,85,2.5,49.1
CO,Broadway & Iris,Aug,88,1.5,70.9
CO,Broadway & Iris,Dec,52,0.7,33.4
CO,Broadway & Iris,Feb,69,0.8,35.8
CO,Broadway & Iris,Jan,47,0.7,32.5
CO,Broadway & Iris,Jul,124,1.6,72.9
CO,Broadway & Iris,Jun,120,2.1,67.1
CO,Broadway & Iris,Mar,99,1.7,41
CO,Broadway & Iris,May,97,3.1,57.9
CO,Broadway & Iris,Nov,45,1.1,40.6
CO,Broadway & Iris,Oct,54,1.2,52.9
CO,Broadway & Iris,Sep,67,1.5,62.2
CO,Broadway & University,Apr,164,2.5,49.1
CO,Broadway & University,Aug,291,1.5,70.9
CO,Broadway & University,Dec,136,0.7,33.4
CO,Broadway & University,Feb,91,0.8,35.8
CO,Broadway & University,Jan,62,0.7,32.5
CO,Broadway & University,Jul,247,1.6,72.9
CO,Broadway & University,Jun,196,2.1,67.1
CO,Broadway & University,Mar,151,1.7,41
CO,Broadway & University,May,144,3.1,57.9
CO,Broadway & University,Nov,132,1.1,40.6
CO,Broadway & University,Oct,250,1.2,52.9
CO,Broadway & University,Sep,241,1.5,62.2
CO,Folsom & Colorado,Apr,336,2.5,49.1
CO,Folsom & Colorado,Aug,582,1.5,70.9
CO,Folsom & Colorado,Dec,315,0.7,33.4
CO,Folsom & Colorado,Feb,256,0.8,35.8
CO,Folsom & Colorado,Jan,158,0.7,32.5
CO,Folsom & Colorado,Jul,569,1.6,72.9
CO,Folsom & Colorado,Jun,408,2.1,67.1
CO,Folsom & Colorado,Mar,362,1.7,41
CO,Folsom & Colorado,May,322,3.1,57.9
CO,Folsom & Colorado,Nov,457,1.1,40.6
CO,Folsom & Colorado,Oct,650,1.2,52.9
CO,Folsom & Colorado,Sep,772,1.5,62.2
CO,Folsom & Pearl,Apr,300,2.5,49.1
CO,Folsom & Pearl,Aug,383,1.5,70.9
CO,Folsom & Pearl,Dec,251,0.7,33.4
CO,Folsom & Pearl,Feb,196,0.8,35.8
CO,Folsom & Pearl,Jan,157,0.7,32.5
CO,Folsom & Pearl,Jul,384,1.6,72.9
CO,Folsom & Pearl,Jun,441,2.1,67.1
CO,Folsom & Pearl,Mar,303,1.7,41
CO,Folsom & Pearl,May,353,3.1,57.9
CO,Folsom & Pearl,Nov,267,1.1,40.6
CO,Folsom & Pearl,Oct,375,1.2,52.9
CO,Folsom & Pearl,Sep,327,1.5,62.2
CO,Gunbarrel North,Apr,33,2.5,49.1
CO,Gunbarrel North,Aug,23,1.5,70.9
CO,Gunbarrel North,Dec,7,0.7,33.4
CO,Gunbarrel North,Feb,5,0.8,35.8
CO,Gunbarrel North,Jan,13,0.7,32.5
CO,Gunbarrel North,Jul,55,1.6,72.9
CO,Gunbarrel North,Jun,22,2.1,67.1
CO,Gunbarrel North,Mar,12,1.7,41
CO,Gunbarrel North,May,54,3.1,57.9
CO,Gunbarrel North,Nov,43,1.1,40.6
CO,Gunbarrel North,Sep,10,1.5,62.2
CO,Library @ Arapahoe,Apr,153,2.5,49.1
CO,Library @ Arapahoe,Aug,252,1.5,70.9
CO,Library @ Arapahoe,Dec,103,0.7,33.4
CO,Library @ Arapahoe,Feb,98,0.8,35.8
CO,Library @ Arapahoe,Jan,76,0.7,32.5
CO,Library @ Arapahoe,Jul,294,1.6,72.9
CO,Library @ Arapahoe,Jun,233,2.1,67.1
CO,Library @ Arapahoe,Mar,158,1.7,41
CO,Library @ Arapahoe,May,205,3.1,57.9
CO,Library @ Arapahoe,Nov,123,1.1,40.6
CO,Library @ Arapahoe,Oct,233,1.2,52.9
CO,Library @ Arapahoe,Sep,202,1.5,62.2
CO,Municipal Building,Apr,209,2.5,49.1
CO,Municipal Building,Aug,391,1.5,70.9
CO,Municipal Building,Dec,129,0.7,33.4
CO,Municipal Building,Feb,175,0.8,35.8
CO,Municipal Building,Jan,158,0.7,32.5
CO,Municipal Building,Jul,388,1.6,72.9
CO,Municipal Building,Jun,298,2.1,67.1
CO,Municipal Building,Mar,254,1.7,41
CO,Municipal Building,May,289,3.1,57.9
