High St & 4th Ave,Jun-17,200
High St & 4th Ave,Mar-17,25
High St & 4th Ave,May-17,144
High St & 4th Ave,Nov-17,33
High St & 4th Ave,Oct-17,86
High St & 4th Ave,Sep-17,133
High St & Broad St,Apr-17,201
High St & Broad St,Aug-17,278
High St & Broad St,Dec-17,37
High St & Broad St,Feb-17,95
High St & Broad St,Jan-17,63
High St & Broad St,Jul-17,385
High St & Broad St,Jun-17,311
High St & Broad St,Mar-17,98
High St & Broad St,May-17,262
High St & Broad St,Nov-17,63
High St & Broad St,Oct-17,170
High St & Broad St,Sep-17,204
High St & King Ave,Apr-17,61
High St & King Ave,Aug-17,148
High St & King Ave,Dec-17,34
High St & King Ave,Feb-17,46
High St & King Ave,Jan-17,28
High St & King Ave,Jul-17,137
High St & King Ave,Jun-17,82
High St & King Ave,Mar-17,29
High St & King Ave,May-17,47
High St & King Ave,Nov-17,70
High St & King Ave,Oct-17,126
High St & King Ave,Sep-17,152
High St & Spring St,Apr-17,86
High St & Spring St,Aug-17,133
High St & Spring St,Dec-17,25
High St & Spring St,Feb-17,42
High St & Spring St,Jan-17,33
High St & Spring St,Jul-17,180
High St & Spring St,Jun-17,144
High St & Spring St,Mar-17,29
High St & Spring St,May-17,130
High St & Spring St,Nov-17,60
High St & Spring St,Oct-17,134
High St & Spring St,Sep-17,130
High St & Warren,Apr-17,191
High St & Warren,Aug-17,183
High St & Warren,Dec-17,19
High St & Warren,Feb-17,76
High St & Warren,Jan-17,26
High St & Warren,Jul-17,287
High St & Warren,Jun-17,267
High St & Warren,Mar-17,57
High St & Warren,May-17,210
High St & Warren,Nov-17,37
High St & Warren,Oct-17,146
High St & Warren,Sep-17,192
Jaeger St & Whittier St,Apr-17,43
Jaeger St & Whittier St,Aug-17,75
Jaeger St & Whittier St,Dec-17,5
Jaeger St & Whittier St,Feb-17,30
Jaeger St & Whittier St,Jan-17,14
Jaeger St & Whittier St,Jul-17,141
Jaeger St & Whittier St,Jun-17,103
Jaeger St & Whittier St,Mar-17,27
Jaeger St & Whittier St,May-17,61
Jaeger St & Whittier St,Nov-17,13
Jaeger St & Whittier St,Oct-17,30
Jaeger St & Whittier St,Sep-17,68
Kilbourne St & Vine St,Apr-17,69
Kilbourne St & Vine St,Aug-17,69
Kilbourne St & Vine St,Dec-17,9
Kilbourne St & Vine St,Feb-17,27
Kilbourne St & Vine St,Jan-17,17
Kilbourne St & Vine St,Jul-17,77
Kilbourne St & Vine St,Jun-17,78
